1973,2138,2303
2307,2315,2317
2321,2323,2326
2327,2329,2330
2332,2335,2338
2345,2349,2351
2352,2354,2359
2411,2484,3040
3042,3371,3622
3623,3624,3625
3626,3627,3628
3630,3632,3633
3634,3635,3636
3639,3640,3641
3645,3646,3647
3648,3649,3652
3653,3655,3656
3657,3658,3659
3660,3661,3662
3663,3664,3665
3666,3667,3668
3670,3671,3672
3673,3674,3675
3676,3677,3678
3679,3680,3681
3682,3683,3686
3687,3688,3689
3690,3691,3692
3694,3695,3696
3697,3698,3710
3712,3719,3723
3727,3733,3738
3741,3744,3747
3750,3751,3753
3756,3758,3760
3762,3763,3765
3766,3768,3769
3770,3771,3773
3774,3776,3777
3778,3779,3782
3784,3787,3788
3791,3793,3796
3798,3799,3800
3803,3804,3807
3810,3814,3815
3816,3817,3823
3825,3826,3834
3835,3836,3837
3839,3840,3841
3842,3843,3844
3845,3847,3848
3850,3851,3852
3853,3854,3857
3858,3900,3901
3902,3903,3904
3905,3906,3907
3908,3909,3910
3911,3912,3913
3914,3915,3916
3917,3918,3919
3920,3921,3922
3923,3924,3925
3926,3927,3928
3929,3930,3931
3932,3933,3934
3935,3936,3937
3938,3939,3940
3960,3961,3962
3963,3964,3965
3966,3967,3968
3969,3970,3974
3975,3976,3978
3979,3981,3983
3984,3985,3986
3987,3988,3989
3990,3991,3992
3993,3994,3995
3996,3997,3998
3999,4284,4287
4288,4295,4298
4299,4304,4307
4308,4312,4316
4320,4323,4326
4333,4334,4335
4344,4348,4356
4380,4381,4382
4384,4385,4386
4387,4388,4389
4390,4391,4392
4393,4394,4395
4396,4397,4398
4399,4420,4421
4422,4423,4424
4425,4427,4428
4429,4430,4431
4434,4435,4436
4437,4438,4439
4440,4441,4442
4443,4444,4445
4446,4448,4449
4450,4475,4476
4477,4478,4479
4480,4481,4482
4483,4484,4485
4486,4487,4488
4490,4491,4492
4493,4640,4644
4662,4667,4674
4676,4684,4685
4686,4687,4689
4704,4709,4716
4719,4722,4725
4726,4728,4733
4734,4736,4739
4743,4746,4748
4752,4761,4762
4764,4768,4769
4770,4772,4776
4777,4779,4783
4800,4812,4813
4814,4816,4819
4820,4824,4825
4826,4828,4829
4832,4838,4839
4845,4847,6879
6888,6942,6944
7518,7527,7595
7844,7849,7860
8056,8096,8157
9360,9401,9404
9405,9408,9409
9412,9413,9414
9416,9417,9418
9419,9421,9422
9423,9424,9425
9428,9432,9433
9434,9435,9436
9437,9438,9441
9444,9445,9446
9449,9450,9466
9467,9468,9470
9474,9475,9476
9478,9479,9600
9601,9602,9605
9613,9629,9640
9651,9658,9682
9684,9685,9687
9691,9692,9697
9698,9702,9709
9717,9719,9739
9742,9746,9749
9753,9758,9759
9766,9790,9799
9889,9928,9984
