2001,2002,2003
2004,2009,2053
2055,2060,2107
2108,2109,2112
2114,2117,2201
2204,2206,2207
2208,2209,2211
2212,2215,2216
2217,2220,2221
2222,2224,2226
2229,2264,2266
2267,2268,2269
2270,2281,2282
2286,2288,2291
2292,2293,2294
2296,2501,2502
2503,2531,2533
2540,2573,2579
2586,2587,2588
2590,2593,2594
2597,2599,2602
2607,2608,2612
2613,2801,2802
2804,2805,2806
2809,2810,2811
2812,2813,2814
2815,2816,2818
2819,2820,2830
2831,2871,2872
2875,2876,2877
2882,2883,2884
2892,2894,2897
2899,2901,2903
2904,2905,2907
2908,2910,2911
2914,2915,2916
2917,2918,2922
2923,2924,2925
2926,2927,2929
2930,2931,4404
4526,
